truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
4.78982e-20,-2.03862e-20,0.053421,7.74427e-19,-2.54083e-19,0.00099968,3.92082e-19,7.11268e-19,-1.51659e-20,1,0,10600,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,0.0112056,-0.00077485,0.000396932,-0.0240433,-0.0390679,0,0,0,0,0.000252227,0.000847413,0.000476865,0,0,0,9.77018,0.965396,1,0,0,0,0,0,0,0
1.47799e-19,-5.58012e-20,0.0536209,1.93977e-19,9.3806e-20,0.00099968,1.00953e-18,2.3286e-18,-3.97357e-20,1,0,10800,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,0.00952471,-0.00928805,0.000150715,-0.0365247,-0.0384748,0,0,0,0,0.000792277,0.00202991,0.000587291,0,0,0,9.73454,0.940383,1,0,0,0,0,0,0,0
2.57195e-19,-1.02876e-19,0.0538208,5.25983e-19,-2.89194e-20,0.00099968,1.87002e-18,4.15076e-18,-6.54186e-20,1,0,11000,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,0.00993263,0.00208402,-0.00708249,-0.040993,-0.0763968,0,0,0,0,0.00182541,0.00304067,0.00141691,0,0,0,9.74069,0.934497,1,0,0,0,0,0,0,0
3.56995e-19,-1.43178e-19,0.0540108,3.58784e-19,-2.73228e-19,0.00099968,2.50035e-18,5.67455e-18,-9.16323e-20,1,0,11200,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,0.0101325,-0.00236047,0.0112879,-0.0543674,-0.053926,0,0,0,0,0.00218063,0.00327772,0.00225285,0,0,0,9.73862,0.936685,1,0,0,0,0,0,0,0
4.44728e-19,-1.79131e-19,0.0542107,7.44586e-19,-3.66131e-19,0.00099968,3.11307e-18,6.8629e-18,-1.19761e-19,1,0,11400,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,0.0115395,0.00195645,-0.0132348,-0.0653415,-0.0529172,0,0,0,0,0.00264638,0.00446547,0.00262073,0,0,0,9.72818,0.92907,1,0,0,0,0,0,0,0
5.4053e-19,-2.187e-19,0.0544106,1.00931e-19,4.23186e-20,0.00099968,3.75028e-18,8.50364e-18,-1.51933e-19,1,0,11600,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,0.0124391,-0.00685858,0.014451,-0.0482117,-0.0465521,0,0,0,0,0.00287118,0.00479909,0.00280659,0,0,0,9.7384,0.937439,1,0,0,0,0,0,0,0
6.54373e-19,-2.58284e-19,0.0546006,8.53458e-19,-4.18542e-19,0.00099968,4.3758e-18,1.03579e-17,-1.77185e-19,1,0,11800,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,0.00516564,-0.000346062,0.00333599,-0.0620075,-0.0447204,0,0,0,0,0.00276137,0.00585646,0.00305213,0,0,0,9.76179,0.953653,1,0,0,0,0,0,0,0
7.70502e-19,-3.0263e-19,0.0548005,7.32386e-19,-2.56992e-19,0.00099968,5.08227e-18,1.21751e-17,-2.07027e-19,1,0,12000,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,0.00760206,-0.00338592,0.00712203,-0.0703477,-0.0493607,0,0,0,0,0.00280473,0.00588626,0.00407302,0,0,0,9.77938,0.964123,1,0,0,0,0,0,0,0
7.35712e-19,-1.96185e-19,0.0549639,5.3511e-19,-4.5459e-19,0.000462063,3.10748e-18,1.15976e-17,-2.29849e-19,1,0,12200,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,0.00239828,-0.0102272,0.00135117,-0.0801114,-0.0408142,0,0,0,0,0.00302406,0.00669904,0.0043639,0,0,0,9.76547,0.956116,1,0,0,0,0,0,0,0
7.60821e-19,-1.63635e-19,0.0549945,0,0,0,2.49026e-18,1.22772e-17,-2.43237e-19,1,0,12400,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,0.0141314,0.00867857,0.00915961,-0.0730817,-0.0311484,0,0,0,0,0.00275014,0.00760098,0.0046819,0,0,0,9.74902,0.948159,1,0,0,0,0,0,0,0
