truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,g_mag,a_X,a_Y,a_Z,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
0,-0,0.055,0,0,0,0,0,-0,1,0,6000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0016,-0.0018,-0,0.0024,0.05,0.0509,9.738,0.0052,-0.0051,0,0,0,0,0.0056,-0.0033,-0.0038,0,0,0,9.7383,0.9497,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,6200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.004,-0.0062,0.0083,0.0111,0.0468,0.0511,9.7455,0.0052,-0.0048,0,0,0,0,0.0051,-0.0037,-0.0036,0,0,0,9.7457,0.9562,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,6400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0019,0.0043,0.0065,0.008,0.0495,0.0455,9.7485,0.0047,-0.0051,0,0,0,0,0.0047,-0.004,-0.0034,0,0,0,9.7487,0.9584,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,6600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0046,-0.0009,0.0027,0.0054,0.0428,0.0414,9.7671,0.0042,-0.0044,0,0,0,0,0.0047,-0.0043,-0.0036,0,0,0,9.7673,0.9725,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,6800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.003,0.0015,0.0027,0.0043,0.0516,0.0506,9.7326,0.0052,-0.0053,0,0,0,0,0.0048,-0.0044,-0.0039,0,0,0,9.7329,0.9479,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,7000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0135,0.0007,-0.0026,0.0138,0.0496,0.0404,9.759,0.0041,-0.0051,0,0,0,0,0.0048,-0.0047,-0.0046,0,0,0,9.7592,0.9667,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,7200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0145,0.0053,-0.0069,0.0169,0.0695,0.0523,9.7774,0.0054,-0.0071,0,0,0,0,0.0053,-0.0044,-0.005,0,0,0,9.7778,0.9745,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,7400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0031,0.0011,0.0042,0.0053,0.0522,0.0324,9.7514,0.0033,-0.0054,0,0,0,0,0.005,-0.0042,-0.0051,0,0,0,9.7516,0.9583,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,7600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0003,-0.011,-0.0012,0.0111,0.0403,0.0424,9.7452,0.0044,-0.0041,0,0,0,0,0.0049,-0.0044,-0.0046,0,0,0,9.7454,0.9573,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,7800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0011,-0.0046,-0.0023,0.0053,0.0385,0.0369,9.7569,0.0038,-0.0039,0,0,0,0,0.0047,-0.0048,-0.0042,0,0,0,9.757,0.9637,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,8000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0043,-0,-0.0103,0.0112,0.0352,0.0256,9.7332,0.0026,-0.0036,0,0,0,0,0.0044,-0.0046,-0.0039,0,0,0,9.7333,0.9459,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,8200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0031,0.0034,0.0124,0.0132,0.0224,0.0579,9.7464,0.0059,-0.0023,0,0,0,0,0.0041,-0.0048,-0.0035,0,0,0,9.7466,0.9526,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,8400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0116,-0.0035,0.0033,0.0126,0.0661,0.0228,9.7436,0.0023,-0.0068,0,0,0,0,0.0037,-0.0048,-0.0034,0,0,0,9.7438,0.9521,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,8600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0078,0.001,0.0033,0.0085,0.0552,0.0188,9.7515,0.0019,-0.0057,0,0,0,0,0.0037,-0.0047,-0.0034,0,0,0,9.7517,0.9584,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,8800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0012,-0.0025,0.0052,0.0059,0.054,0.0351,9.7304,0.0036,-0.0055,0,0,0,0,0.0039,-0.0052,-0.0035,0,0,0,9.7306,0.9471,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,9000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0028,-0.0025,0.0052,0.0064,0.0558,0.0532,9.7458,0.0055,-0.0057,0,0,0,0,0.0043,-0.005,-0.0035,0,0,0,9.7461,0.9561,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,9200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0044,0.0045,0.0046,0.0078,0.0487,0.0309,9.7519,0.0032,-0.005,0,0,0,0,0.0039,-0.0047,-0.0038,0,0,0,9.7521,0.9611,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,9400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0044,0.0042,0.0085,0.0105,0.0405,0.042,9.7462,0.0043,-0.0042,0,0,0,0,0.0042,-0.0043,-0.0038,0,0,0,9.7464,0.959,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,9600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0027,0.0045,0.0111,0.0123,0.0499,0.0368,9.747,0.0038,-0.0051,0,0,0,0,0.0043,-0.0043,-0.0038,0,0,0,9.7472,0.9575,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,9800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.003,0.0043,-0.0059,0.0079,0.0609,0.0291,9.7253,0.003,-0.0063,0,0,0,0,0.004,-0.0045,-0.0036,0,0,0,9.7255,0.9406,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,10000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0039,-0.005,-0.0062,0.0089,0.0546,0.0325,9.736,0.0033,-0.0056,0,0,0,0,0.0042,-0.0044,-0.0041,0,0,0,9.7362,0.949,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,10200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0044,-0.0037,-0.0041,0.007,0.0319,0.0429,9.7563,0.0044,-0.0033,0,0,0,0,0.0045,-0.0047,-0.0043,0,0,0,9.7565,0.9631,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,10400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0058,0.0119,-0.0015,0.0133,0.0482,0.0413,9.728,0.0042,-0.005,0,0,0,0,0.0039,-0.0048,-0.0048,0,0,0,9.7282,0.9459,1,0,0,0,0,0,0,0
