truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,g_mag,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
0,-0,0.055,0,0,0,0,0,-0,0,1,25400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0015,-0.0167,0.0005,0.0168,-0.054,-0.0274,0,0,0,0,-0.0048,0.0034,0.0009,0,0,0,9.7601,0.9623,1,0,0.0003,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,25600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0107,-0.0006,0.0084,0.0136,-0.0346,-0.0714,0,0,0,0,-0.0055,0.0043,0.0011,0,0,0,9.7314,0.9447,1,0.0002,0,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,25800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0144,0.0074,-0.0132,0.0209,-0.0483,-0.0493,0,0,0,0,-0.0053,0.0044,0.0021,0,0,0,9.7429,0.9554,1,0.0002,-0.0001,0.0002,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,26000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0028,0.0011,0.005,0.0058,-0.0643,-0.0278,0,0,0,0,-0.0061,0.005,0.0029,0,0,0,9.7558,0.9577,1,-0,-0,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,26200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.003,-0,-0.0066,0.0072,-0.0681,-0.0878,0,0,0,0,-0.0068,0.0052,0.0031,0,0,0,9.7608,0.9628,1,0,0,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,26400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0138,0.0106,-0.0007,0.0175,-0.0643,-0.0406,0,0,0,0,-0.0065,0.0054,0.0029,0,0,0,9.7776,0.9744,1,-0.0002,-0.0002,0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,26600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0023,0.007,-0.0077,0.0106,-0.0368,-0.0835,0,0,0,0,-0.0064,0.0055,0.0028,0,0,0,9.7163,0.9327,1,-0,-0.0001,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,26800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.009,0.0062,0.0073,0.0132,-0.0857,-0.0439,0,0,0,0,-0.0066,0.0054,0.0029,0,0,0,9.7648,0.963,1,-0.0001,-0.0001,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,27000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0111,-0.0032,0.0133,0.0177,-0.0615,-0.0334,0,0,0,0,-0.006,0.0061,0.0037,0,0,0,9.7307,0.9431,1,-0.0002,0.0001,-0.0002,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,27200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0019,-0.0102,0.0066,0.0123,-0.0603,-0.0666,0,0,0,0,-0.0055,0.0067,0.0041,0,0,0,9.7786,0.9781,1,-0,0.0002,-0.0001,0.06,0.06,0.06,0.06
